Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.48,209.54.179.93,2022-03-11,858791.00,18,858791.00,0.00,18.00,0.00
192.168.20.43,52.45.200.111,2022-03-11,1748006976.00,224,1748006976.00,0.00,224.00,0.00
192.168.20.43,34.227.127.81,2022-03-11,1094564733.00,140,1094564733.00,0.00,140.00,0.00
192.168.20.43,13.225.34.84,2022-02-11,333726.00,18,333726.00,0.00,18.00,0.00
192.168.20.43,54.231.136.89,2022-02-11,85263073.00,300,85263073.00,0.00,300.00,0.00
142.250.201.170,192.168.20.42,2022-03-11,76.00,2,76.00,0.00,2.00,0.00
192.168.20.48,54.205.24.65,2022-03-11,45744631.00,1337,45744631.00,0.00,1337.00,0.00
54.217.52.155,192.168.20.19,2022-02-11,1999437.00,5,1999437.00,0.00,5.00,0.00
13.215.79.109,192.168.20.48,2022-07-10,31648.00,4,31648.00,0.00,4.00,0.00
192.168.20.10,192.168.20.1,2022-02-11,110888302.00,18,110888302.00,0.00,18.00,0.00
192.168.20.48,34.193.90.148,2022-03-11,233326.00,7,272488.00,39162.00,8.50,1.50
104.199.65.124,192.168.20.48,2022-07-10,7014521.00,2,7014521.00,0.00,2.00,0.00
52.95.123.17,192.168.20.43,2022-03-11,1924.00,1,1924.00,0.00,1.00,0.00
54.68.250.149,192.168.20.48,2022-03-11,516905.00,5,516905.00,0.00,5.00,0.00
192.168.20.13,3.120.92.134,2022-02-11,3059915961.00,130,34922473472.00,31862557511.00,1523.00,1393.00
192.168.20.48,54.91.103.251,2022-03-11,19500092.00,604,19500092.00,0.00,604.00,0.00
192.168.20.43,176.32.99.246,2022-07-10,7798467.00,29,7798467.00,0.00,29.00,0.00
108.136.67.213,192.168.20.48,2022-07-10,22059.00,3,22059.00,0.00,3.00,0.00
192.168.20.45,51.15.195.76,2022-07-10,2638.00,1,2638.00,0.00,1.00,0.00
52.84.174.18,192.168.20.43,2022-07-10,20576.00,1,20576.00,0.00,1.00,0.00
192.168.20.43,13.225.33.148,2022-02-11,109649246.00,28,109649246.00,0.00,28.00,0.00
192.168.20.43,3.227.34.105,2022-02-11,96365064.00,31,96365064.00,0.00,31.00,0.00
142.250.74.234,192.168.20.42,2022-03-11,16828.00,3,16828.00,0.00,3.00,0.00
192.168.20.43,34.192.154.181,2022-03-11,47799030.00,245,47799030.00,0.00,245.00,0.00
192.168.20.43,18.233.46.225,2022-03-11,28092289.00,263,28092289.00,0.00,263.00,0.00
52.94.224.149,192.168.20.48,2022-07-10,20205.00,3,20205.00,0.00,3.00,0.00
192.168.20.48,3.112.156.31,2022-03-11,9153633.00,76,9153633.00,0.00,76.00,0.00
192.168.20.48,50.16.91.222,2022-03-11,4108347.00,91,4108347.00,0.00,91.00,0.00
143.204.231.58,192.168.20.43,2022-03-11,1882.00,3,1882.00,0.00,3.00,0.00
192.168.20.48,209.54.180.27,2022-02-11,1371669.00,14,1371669.00,0.00,14.00,0.00
192.168.20.48,54.193.143.35,2022-07-10,2726915.00,72,1698855.50,1028059.50,45.00,27.00
192.168.20.43,44.211.15.145,2022-03-11,1117958163.00,140,1117958163.00,0.00,140.00,0.00
192.168.20.43,52.46.143.155,2022-03-11,610854.00,25,610854.00,0.00,25.00,0.00
192.168.20.43,44.228.215.143,2022-02-11,26185239.00,57,31498131.00,5312892.00,74.00,17.00
54.239.31.104,192.168.20.48,2022-02-11,93780.00,1,93780.00,0.00,1.00,0.00
192.168.20.48,52.41.96.203,2022-06-10,687491.00,18,1703987.00,1016496.00,44.50,26.50
192.168.20.43,52.37.30.201,2022-03-11,34625882.00,74,34625882.00,0.00,74.00,0.00
3.233.174.130,192.168.20.48,2022-02-11,519619.00,5,519619.00,0.00,5.00,0.00
192.168.20.48,34.228.101.107,2022-03-11,1163629.00,42,1163629.00,0.00,42.00,0.00
192.168.20.42,108.177.15.188,2022-02-11,5252349415.00,208,8180685877.50,2928336462.50,332.00,124.00
52.46.155.15,192.168.20.43,2022-03-11,5163.00,5,5163.00,0.00,5.00,0.00
192.168.20.43,143.204.231.108,2022-02-11,60780186.00,76,60780186.00,0.00,76.00,0.00
192.168.20.43,52.46.137.209,2022-03-11,960135.00,24,960135.00,0.00,24.00,0.00
192.168.20.43,54.68.57.171,2022-03-11,69867342.00,157,69867342.00,0.00,157.00,0.00
192.168.20.48,18.203.57.224,2022-03-11,17129668989.00,1298,8564834878.50,8564834110.50,650.50,647.50
34.202.131.95,192.168.20.48,2022-02-11,999221.00,4,999221.00,0.00,4.00,0.00
